condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_3,pert_seed_0,fold_01/state_2,True,77,10,False,400,75,a8a3e7edb6226147
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_3,pert_seed_1,fold_01/state_2,True,77,10,False,400,75,a8a3e7edb6226147
COMMAND_OPEN_ORACLE_T10,fold_01,state_2,det_seed_3,pert_seed_2,fold_01/state_2,True,77,10,False,400,75,a8a3e7edb6226147
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_1,pert_seed_0,fold_02/state_0,True,111,10,False,400,109,dba2514f6af13fe1
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_1,pert_seed_1,fold_02/state_0,True,111,10,False,400,109,dba2514f6af13fe1
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_1,pert_seed_2,fold_02/state_0,True,111,10,False,400,109,dba2514f6af13fe1
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_2,pert_seed_0,fold_02/state_0,True,111,10,False,400,109,45822037055ee0f5
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_2,pert_seed_1,fold_02/state_0,True,111,10,False,400,109,45822037055ee0f5
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_2,pert_seed_2,fold_02/state_0,True,111,10,False,400,109,45822037055ee0f5
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_3,pert_seed_0,fold_02/state_0,True,110,10,False,400,109,3bed77806928db66
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_3,pert_seed_1,fold_02/state_0,True,110,10,False,400,109,3bed77806928db66
COMMAND_OPEN_ORACLE_T10,fold_02,state_0,det_seed_3,pert_seed_2,fold_02/state_0,True,110,10,False,400,109,3bed77806928db66
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_1,pert_seed_0,fold_02/state_1,True,95,10,False,400,91,2ed9eb8e41a4d3e9
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_1,pert_seed_1,fold_02/state_1,True,95,10,False,400,91,2ed9eb8e41a4d3e9
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_1,pert_seed_2,fold_02/state_1,True,95,10,False,400,91,2ed9eb8e41a4d3e9
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_2,pert_seed_0,fold_02/state_1,True,95,10,False,400,91,454700e5cfc0fe66
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_2,pert_seed_1,fold_02/state_1,True,95,10,False,400,91,454700e5cfc0fe66
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_2,pert_seed_2,fold_02/state_1,True,95,10,False,400,91,454700e5cfc0fe66
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_3,pert_seed_0,fold_02/state_1,True,95,10,False,400,91,c0ef3774b6c50047
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_3,pert_seed_1,fold_02/state_1,True,95,10,False,400,91,c0ef3774b6c50047
COMMAND_OPEN_ORACLE_T10,fold_02,state_1,det_seed_3,pert_seed_2,fold_02/state_1,True,95,10,False,400,91,c0ef3774b6c50047
COMMAND_OPEN_ORACLE_T10,fold_03,state_1,det_seed_1,pert_seed_0,fold_03/state_1,True,88,10,False,400,83,17118834eb91101c
COMMAND_OPEN_ORACLE_T10,fold_03,state_1,det_seed_1,pert_seed_1,fold_03/state_1,True,88,10,False,400,83,17118834eb91101c
COMMAND_OPEN_ORACLE_T10,fold_03,state_1,det_seed_1,pert_seed_2,fold_03/state_1,True,88,10,False,400,83,17118834eb91101c
COMMAND_OPEN_ORACLE_T10,fold_03,state_1,det_seed_2,pert_seed_0,fold_03/state_1,True,86,10,False,400,83,e8d0e40ee8180a1e
COMMAND_OPEN_ORACLE_T10,fold_03,state_1,det_seed_2,pert_seed_1,fold_03/state_1,True,86,10,False,400,83,e8d0e40ee8180a1e
