task,state_id,n_csv,n_live,n_frozen,count_ok,step_mismatches,abstain_mismatches,feat_mismatches,max_feat_diff,score_mismatches,max_score_diff,emit_match,live_emit,frozen_emit
orange_juice,29,1,1,1,True,0,0,0,1.000000000001e-06,1,1.1999999999984245e-05,True,62,62
orange_juice,30,1,1,1,True,0,0,0,9.999999999999159e-07,1,1.5999999999988246e-05,True,63,63
orange_juice,31,3,3,3,True,0,0,0,1.0000000000001327e-06,2,1.5000000000015001e-05,True,39,39
orange_juice,36,1,1,1,True,0,0,0,1.4884376525865718e-09,0,0.0,True,53,53
orange_juice,39,1,1,1,True,0,0,0,2.0764827728273285e-09,1,1.000000000001e-06,True,43,43
orange_juice,41,3,3,3,True,0,0,0,1.000000000001e-06,2,1.5999999999988246e-05,True,57,57
orange_juice,49,1,1,1,True,0,0,0,1.000000000001e-06,1,8.000000000008e-06,True,61,61
salad_dressing,1,2,2,2,True,0,0,0,9.999999999999159e-07,1,7.999999999980245e-06,True,54,54
salad_dressing,3,1,1,1,True,0,0,0,3.0792617797904603e-09,0,0.0,True,58,58
salad_dressing,11,4,4,4,True,0,0,0,1.000000000001e-06,4,5.999999999999062e-06,True,125,125
salad_dressing,14,1,1,1,True,0,0,0,1.000000000001e-06,1,1.6000000000016e-05,True,63,63
salad_dressing,16,1,1,1,True,0,0,0,9.999999999999159e-07,1,1.3999999999986246e-05,True,48,48
salad_dressing,24,11,11,11,True,0,0,0,1.000000000001e-06,4,1.6999999999989246e-05,True,81,81
salad_dressing,26,2,2,2,True,0,0,0,1.000000000001e-06,1,2.9999999999752447e-06,True,44,44
salad_dressing,27,3,3,3,True,0,0,0,1.000000000001e-06,2,1.9999999999992246e-05,True,59,59
