job_id,pair_id,task,state_id,condition,env_seed,attack_seed,window_start,window_end,window_size,n_total_steps,infra_status,decoded_open_count,longest_streak,qpos_delta,success,valid,is_retry
520016,k5c_rand_butter2,butter,0,vis_pgd,0,3,95,105,11,110,ok,7,5,0.044357,0,True,False
520105,k5c_cmd_butter,butter,0,random_linf,0,2,80,90,11,95,ok,4,2,0.007226,0,True,False
520033,k5c_rand_oj,orange_juice,1,random_linf,1,1,50,60,11,65,ok,7,4,0.030215,0,True,False
520106,k5c_cmd_butter,butter,0,vis_pgd,0,3,80,90,11,95,ok,8,8,0.066179,0,True,False
520039,k5c_rand_oj,orange_juice,1,random_linf,1,4,50,60,11,65,ok,5,3,0.024341,0,True,False
520156,k5c_sentinel_milk_gold,milk,0,vis_pgd,0,3,70,80,11,85,ok,7,3,0.033823,0,True,False
520054,k5c_cmd_tomato_early,tomato_sauce,0,vis_pgd,0,2,50,60,11,65,ok,8,3,0.009657,0,True,False
520052,k5c_cmd_tomato_early,tomato_sauce,0,vis_pgd,0,1,50,60,11,65,ok,6,4,0.002967,0,True,False
520026,k5c_rand_cream,cream_cheese,2,vis_pgd,2,3,65,75,11,80,ok,5,2,0.013088,0,True,False
520079,k5c_cmd_cream,cream_cheese,1,random_linf,1,4,85,95,11,100,ok,4,1,0.013965,0,True,False
520034,k5c_rand_oj,orange_juice,1,vis_pgd,1,2,50,60,11,65,ok,4,1,0.006114,0,True,False
520113,k5c_phys_butter,butter,0,random_linf,0,1,135,145,11,150,ok,0,0,0.056933,0,True,False
520030,k5c_rand_oj,orange_juice,1,vis_pgd,1,0,50,60,11,65,ok,2,1,0.005859,0,True,False
520119,k5c_phys_butter,butter,0,random_linf,0,4,135,145,11,150,ok,7,7,0.016945,0,True,False
520130,k5c_phys_salad,salad_dressing,2,vis_pgd,2,0,75,85,11,90,ok,7,4,0.037995,0,True,False
520157,k5c_sentinel_milk_gold,milk,0,random_linf,0,3,70,80,11,85,ok,0,0,0.020096,0,True,False
